competition_name,gender,country,season_end_year,squad,team_or_opponent,num_players,mins_per_90,tkl_tackles,tkl_w_tackles,def_3rd_tackles,mid_3rd_tackles,att_3rd_tackles,tkl_vs,att_vs,tkl_percent_vs,past_vs,press_pressures,succ_pressures,percent_pressures,def_3rd_pressures,mid_3rd_pressures,att_3rd_pressures,blocks_blocks,sh_blocks,sh_sv_blocks,pass_blocks,int,tkl_plus_int,clr,err
Ligue 1,M,FRA,2019,Montpellier,team,25,38,751,424,367,291,93,275,784,35.1,509,6593,1690,25.6,2254,3193,1146,605,117,3,488,320,1071,858,9
Ligue 1,M,FRA,2019,Nantes,team,33,38,768,481,379,293,96,241,749,32.2,508,6768,1907,28.2,2328,3227,1213,564,117,2,447,345,1113,894,6
Ligue 1,M,FRA,2019,Nice,team,30,38,642,385,336,241,65,226,679,33.3,453,6017,1591,26.4,2135,2715,1167,591,123,5,468,325,967,802,9
Ligue 1,M,FRA,2019,Nîmes,team,23,38,735,462,398,258,79,264,798,33.1,534,6440,1703,26.4,2180,3080,1180,615,120,2,495,277,1012,892,10
Ligue 1,M,FRA,2019,Paris S-G,team,30,38,668,421,286,285,97,251,740,33.9,489,6356,1821,28.7,1802,2962,1592,516,104,2,412,249,917,553,13
Ligue 1,M,FRA,2019,Reims,team,27,38,759,453,437,243,79,251,772,32.5,521,7066,1773,25.1,2548,3131,1387,586,118,2,468,344,1103,966,8
Ligue 1,M,FRA,2019,Rennes,team,28,38,641,378,294,262,85,232,704,33,472,6289,1687,26.8,2168,2932,1189,547,122,5,425,285,926,811,5
Ligue 1,M,FRA,2019,Saint-Étienne,team,29,38,669,427,317,267,85,210,709,29.6,499,5978,1586,26.5,2004,2790,1184,517,95,2,422,304,973,826,12
Ligue 1,M,FRA,2019,Strasbourg,team,26,38,647,384,317,247,83,214,626,34.2,412,6269,1570,25,2262,2917,1090,536,129,4,407,347,994,796,10
Ligue 1,M,FRA,2019,Toulouse,team,29,38,705,459,394,227,84,239,655,36.5,416,6537,1739,26.6,2478,2789,1270,633,142,3,491,300,1005,919,9
Ligue 1,M,FRA,2019,vs Amiens,opponent,26,38,633,391,297,264,72,191,576,33.2,385,5449,1575,28.9,1811,2667,971,547,104,2,443,275,908,855,9
Ligue 1,M,FRA,2019,vs Angers,opponent,24,38,741,472,351,293,97,225,696,32.3,471,6167,1684,27.3,1938,2931,1298,517,104,0,413,265,1006,805,12
Ligue 1,M,FRA,2019,vs Bordeaux,opponent,33,38,724,481,317,315,92,223,723,30.8,500,7233,2009,27.8,2120,3594,1519,570,105,1,465,355,1079,749,8
Ligue 1,M,FRA,2019,vs Caen,opponent,27,38,690,421,290,314,86,254,692,36.7,438,5758,1621,28.2,1465,3043,1250,489,109,2,380,271,961,939,6
Ligue 1,M,FRA,2019,vs Dijon,opponent,26,38,633,411,305,267,61,170,623,27.3,453,5775,1585,27.4,1884,2779,1112,544,114,2,430,237,870,896,5
Ligue 1,M,FRA,2019,vs Guingamp,opponent,30,38,712,431,391,239,82,235,729,32.2,494,5536,1582,28.6,2069,2424,1043,598,118,1,480,315,1027,1019,8
Ligue 1,M,FRA,2019,vs Lille,opponent,25,38,738,468,361,293,84,229,702,32.6,473,6222,1648,26.5,2213,2925,1084,543,109,3,434,279,1017,819,11
Ligue 1,M,FRA,2019,vs Lyon,opponent,25,38,694,448,381,235,78,234,802,29.2,568,7300,1696,23.2,2823,3306,1171,608,164,3,444,435,1129,787,14
Ligue 1,M,FRA,2019,vs Marseille,opponent,24,38,675,390,371,252,52,248,699,35.5,451,7137,1643,23,2414,3438,1285,626,136,2,490,286,961,963,8
Ligue 1,M,FRA,2019,vs Monaco,opponent,42,38,651,405,333,251,67,229,662,34.6,433,6735,1857,27.6,2427,3168,1140,638,138,4,500,312,963,804,5
Ligue 1,M,FRA,2019,vs Montpellier,opponent,25,38,652,419,341,243,68,209,660,31.7,451,6482,1756,27.1,2185,3010,1287,593,110,2,483,270,922,1014,11
Ligue 1,M,FRA,2019,vs Nantes,opponent,33,38,615,359,320,232,63,182,586,31.1,404,6221,1759,28.3,2450,2644,1127,614,136,0,478,355,970,883,8
Ligue 1,M,FRA,2019,vs Nice,opponent,30,38,809,532,400,314,95,329,992,33.2,663,7155,1813,25.3,2234,3370,1551,532,127,2,405,326,1135,587,2
Ligue 1,M,FRA,2019,vs Nîmes,opponent,23,38,707,434,369,260,78,251,736,34.1,485,6041,1784,29.5,2293,2603,1145,571,131,0,440,273,980,971,8
Ligue 1,M,FRA,2019,vs Paris S-G,opponent,30,38,734,513,402,253,79,267,885,30.2,618,8242,1730,21,3150,3790,1302,573,141,13,432,378,1112,730,12
Ligue 1,M,FRA,2019,vs Reims,opponent,27,38,629,411,279,254,96,208,673,30.9,465,5638,1670,29.6,1731,2506,1401,544,97,4,447,279,908,829,6
Ligue 1,M,FRA,2019,vs Rennes,opponent,28,38,762,472,398,284,80,274,785,34.9,511,6748,1738,25.8,2402,3144,1202,578,117,4,461,298,1060,797,7
