competition_name,gender,country,season_end_year,squad,team_or_opponent,num_players,mins_per_90,cmp_total,att_total,cmp_percent_total,tot_dist_total,prg_dist_total,cmp_short,att_short,cmp_percent_short,cmp_medium,att_medium,cmp_percent_medium,cmp_long,att_long,cmp_percent_long,ast,x_a,a_minus_x_a,kp,final_third,ppa,crs_pa,prog
Fußball-Bundesliga,M,GER,2020,vs Köln,opponent,29,34,13814,17442,79.2,273754,98243,5337,6123,87.2,6087,7059,86.2,2117,3539,59.8,53,36.2,16.8,331,989,269,68,1265
Fußball-Bundesliga,M,GER,2020,vs Leverkusen,opponent,24,34,9564,13133,72.8,200337,78059,3529,4323,81.6,4124,5084,81.1,1729,3119,55.4,31,33.7,-2.7,259,676,196,51,909
Fußball-Bundesliga,M,GER,2020,vs M'Gladbach,opponent,25,34,12910,16313,79.1,268523,94587,4667,5390,86.6,5677,6585,86.2,2354,3696,63.7,30,30.8,-0.8,342,886,262,80,1140
Fußball-Bundesliga,M,GER,2020,vs Mainz 05,opponent,25,34,15017,18637,80.6,303142,105530,5562,6349,87.6,6850,7852,87.2,2360,3740,63.1,49,43.1,5.9,381,1020,294,98,1337
Fußball-Bundesliga,M,GER,2020,vs Paderborn 07,opponent,27,34,14671,18229,80.5,303473,104125,5178,5958,86.9,6690,7632,87.7,2546,3876,65.7,56,50.7,5.3,375,1003,348,92,1354
Fußball-Bundesliga,M,GER,2020,vs RB Leipzig,opponent,29,34,12845,16421,78.2,261381,87572,4834,5591,86.5,5627,6501,86.6,2151,3647,59,28,26.4,1.6,251,785,187,45,935
Fußball-Bundesliga,M,GER,2020,vs Schalke 04,opponent,29,34,12957,16560,78.2,265662,92549,4731,5561,85.1,5724,6727,85.1,2252,3559,63.3,35,34.6,0.4,339,885,249,74,1100
Fußball-Bundesliga,M,GER,2020,vs Union Berlin,opponent,26,34,15138,19062,79.4,309927,103406,5460,6305,86.6,6932,8030,86.3,2546,4082,62.4,41,36.1,4.9,356,1033,263,70,1348
Fußball-Bundesliga,M,GER,2020,vs Werder Bremen,opponent,30,34,14138,17737,79.7,285319,98161,5342,6183,86.4,6194,7235,85.6,2351,3649,64.4,53,36.3,16.7,364,1081,285,104,1248
Fußball-Bundesliga,M,GER,2020,vs Wolfsburg,opponent,26,34,12795,16702,76.6,262825,93205,4749,5590,85,5667,6717,84.4,2151,3674,58.5,32,27.4,4.6,276,961,234,65,1179
Fußball-Bundesliga,M,GER,2019,Augsburg,team,30,34,11138,15094,73.8,230933,88336,4171,5100,81.8,4838,5888,82.2,2007,3638,55.2,33,28.7,4.3,311,815,274,90,1140
Fußball-Bundesliga,M,GER,2019,Bayern Munich,team,24,34,20506,23861,85.9,409832,120093,7562,8384,90.2,9485,10466,90.6,3252,4450,73.1,62,60,2,454,1730,474,96,1794
Fußball-Bundesliga,M,GER,2019,Dortmund,team,23,34,18845,22100,85.3,346448,104095,8226,9193,89.5,7939,8831,89.9,2366,3431,69,60,42.3,17.7,327,1341,314,55,1346
Fußball-Bundesliga,M,GER,2019,Düsseldorf,team,24,34,11146,14589,76.4,240306,89614,3907,4652,84,4863,5827,83.5,2240,3666,61.1,35,34,1,309,898,246,79,1137
Fußball-Bundesliga,M,GER,2019,Eint Frankfurt,team,30,34,10628,14853,71.6,222696,93232,3987,4965,80.3,4562,5855,77.9,1923,3551,54.2,42,38.5,3.5,287,950,261,82,1187
