competition_name,gender,country,season_end_year,squad,team_or_opponent,num_players,mins_per_90,gls_standard,sh_standard,so_t_standard,so_t_percent_standard,sh_per_90_standard,so_t_per_90_standard,g_per_sh_standard,g_per_so_t_standard,dist_standard,fk_standard,pk_standard,p_katt_standard,x_g_expected,npx_g_expected,npx_g_per_sh_expected,g_minus_x_g_expected,np_g_minus_x_g_expected
Ligue 1,M,FRA,2020,vs Toulouse,opponent,30,28,57,408,140,34.3,14.57,5,0.13,0.39,18,21,3,5,44.1,40.3,0.1,12.9,13.7
Ligue 1,M,FRA,2019,Amiens,team,26,38,30,393,115,29.3,10.34,3.03,0.07,0.24,19.2,21,2,3,34.6,32.3,0.08,-4.6,-4.3
Ligue 1,M,FRA,2019,Angers,team,24,38,42,453,151,33.3,11.92,3.97,0.08,0.25,17.9,19,5,10,47.7,39.8,0.09,-5.7,-2.8
Ligue 1,M,FRA,2019,Bordeaux,team,33,38,34,431,133,30.9,11.34,3.5,0.07,0.22,19.4,22,5,6,40.2,35.7,0.09,-6.2,-6.7
Ligue 1,M,FRA,2019,Caen,team,27,38,29,338,92,27.2,8.89,2.42,0.07,0.27,19.7,18,4,4,31.1,28.1,0.09,-2.1,-3.1
Ligue 1,M,FRA,2019,Dijon,team,26,38,29,451,140,31,11.87,3.68,0.06,0.19,18.9,24,3,4,39.6,36.5,0.08,-10.6,-10.5
Ligue 1,M,FRA,2019,Guingamp,team,30,38,28,417,111,26.6,10.97,2.92,0.06,0.21,18,17,5,6,39.7,35.1,0.09,-11.7,-12.1
Ligue 1,M,FRA,2019,Lille,team,25,38,66,487,182,37.4,12.82,4.79,0.11,0.3,18.6,27,11,13,58.4,48.5,0.1,7.6,6.5
Ligue 1,M,FRA,2019,Lyon,team,25,38,70,665,244,36.7,17.5,6.42,0.1,0.27,17.3,48,5,10,73.7,66.3,0.1,-3.7,-1.3
Ligue 1,M,FRA,2019,Marseille,team,24,38,59,532,168,31.6,14,4.42,0.1,0.33,17.1,19,4,5,52.4,48.7,0.09,6.6,6.3
Ligue 1,M,FRA,2019,Monaco,team,42,38,38,475,151,31.8,12.5,3.97,0.07,0.23,17.5,25,4,5,48.9,45.1,0.1,-10.9,-11.1
Ligue 1,M,FRA,2019,Montpellier,team,25,38,50,499,168,33.7,13.13,4.42,0.09,0.28,18.6,26,3,3,45.3,43,0.09,4.7,4
Ligue 1,M,FRA,2019,Nantes,team,33,38,47,521,143,27.4,13.71,3.76,0.08,0.29,19.5,23,6,8,47.8,41.7,0.08,-0.8,-0.7
Ligue 1,M,FRA,2019,Nice,team,30,38,27,447,127,28.4,11.76,3.34,0.05,0.17,18.8,30,5,9,44.3,37.5,0.09,-17.3,-15.5
Ligue 1,M,FRA,2019,Nîmes,team,23,38,55,519,175,33.7,13.66,4.61,0.1,0.29,18.7,25,4,6,47.9,43.3,0.08,7.1,7.7
Ligue 1,M,FRA,2019,Paris S-G,team,30,38,103,558,200,35.8,14.68,5.26,0.17,0.47,16.2,29,10,12,91.1,82.1,0.16,11.9,10.9
Ligue 1,M,FRA,2019,Reims,team,27,38,39,412,136,33,10.84,3.58,0.09,0.27,17.6,15,2,2,40.8,39.3,0.1,-1.8,-2.3
Ligue 1,M,FRA,2019,Rennes,team,28,38,53,472,148,31.4,12.42,3.89,0.1,0.31,18,46,7,10,52.3,44.8,0.1,0.7,1.2
Ligue 1,M,FRA,2019,Saint-Étienne,team,29,38,56,499,162,32.5,13.13,4.26,0.1,0.31,17.6,18,5,5,56,52.2,0.11,0,-1.2
Ligue 1,M,FRA,2019,Strasbourg,team,26,38,57,398,145,36.4,10.47,3.82,0.13,0.36,18.2,11,5,7,42.3,36.9,0.1,14.7,15.1
Ligue 1,M,FRA,2019,Toulouse,team,29,38,35,421,118,28,11.08,3.11,0.07,0.24,17.9,17,7,11,43.7,35.5,0.09,-8.7,-7.5
Ligue 1,M,FRA,2019,vs Amiens,opponent,26,38,50,498,155,31.1,13.11,4.08,0.09,0.28,18.3,18,6,9,46.2,39.5,0.08,3.8,4.5
Ligue 1,M,FRA,2019,vs Angers,opponent,24,38,47,463,160,34.6,12.18,4.21,0.1,0.28,18.1,30,3,5,46.9,43.1,0.1,0.1,0.9
Ligue 1,M,FRA,2019,vs Bordeaux,opponent,33,38,42,510,147,28.8,13.42,3.87,0.07,0.24,17.8,20,6,7,53.1,47.8,0.1,-11.1,-11.8
Ligue 1,M,FRA,2019,vs Caen,opponent,27,38,52,542,182,33.6,14.26,4.79,0.08,0.25,17.9,35,6,8,57.5,51.7,0.1,-5.5,-5.7
Ligue 1,M,FRA,2019,vs Dijon,opponent,26,38,59,542,170,31.4,14.26,4.47,0.1,0.33,18.4,36,3,3,60.9,58.6,0.11,-1.9,-2.6
Ligue 1,M,FRA,2019,vs Guingamp,opponent,30,38,68,455,163,35.8,11.97,4.29,0.14,0.4,17.7,15,3,6,50.1,45.6,0.1,17.9,19.4
Ligue 1,M,FRA,2019,vs Lille,opponent,25,38,33,380,118,31.1,10,3.11,0.07,0.23,17.7,21,6,10,42.7,35.1,0.1,-9.7,-8.1
Ligue 1,M,FRA,2019,vs Lyon,opponent,25,38,43,471,146,31,12.39,3.84,0.08,0.26,19.4,21,5,5,42.6,38.8,0.09,0.4,-0.8
Ligue 1,M,FRA,2019,vs Marseille,opponent,24,38,52,394,130,33,10.37,3.42,0.11,0.32,18.7,28,10,12,46,36.8,0.1,6,5.2
Ligue 1,M,FRA,2019,vs Monaco,opponent,42,38,55,427,142,33.3,11.24,3.74,0.12,0.35,17.7,24,5,8,47.3,41.2,0.1,7.7,8.8
Ligue 1,M,FRA,2019,vs Montpellier,opponent,25,38,40,456,138,30.3,12,3.63,0.08,0.27,19.5,30,3,5,43.5,39.8,0.09,-3.5,-2.8
Ligue 1,M,FRA,2019,vs Nantes,opponent,33,38,48,421,126,29.9,11.08,3.32,0.1,0.35,18.1,18,4,8,47.8,41.6,0.1,0.2,2.4
Ligue 1,M,FRA,2019,vs Nice,opponent,30,38,34,496,153,30.8,13.05,4.03,0.06,0.2,17.8,22,3,6,49.2,44.6,0.09,-15.2,-13.6
Ligue 1,M,FRA,2019,vs Nîmes,opponent,23,38,58,487,177,36.3,12.82,4.66,0.11,0.31,18.3,32,4,5,55.6,51.8,0.11,2.4,2.2
Ligue 1,M,FRA,2019,vs Paris S-G,opponent,30,38,32,394,124,31.5,10.37,3.26,0.07,0.22,18.8,13,5,6,35.9,31.2,0.08,-3.9,-4.2
Ligue 1,M,FRA,2019,vs Reims,opponent,27,38,40,448,147,32.8,11.79,3.87,0.07,0.22,18.5,27,7,7,45,39.7,0.09,-5,-6.7
Ligue 1,M,FRA,2019,vs Rennes,opponent,28,38,51,472,152,32.2,12.42,4,0.1,0.31,17.4,18,4,5,48.7,44.8,0.1,2.3,2.2
Ligue 1,M,FRA,2019,vs Saint-Étienne,opponent,29,38,40,468,152,32.5,12.32,4,0.07,0.22,17.7,13,7,9,50.6,44,0.1,-10.6,-11
Ligue 1,M,FRA,2019,vs Strasbourg,opponent,26,38,47,488,152,31.1,12.84,4,0.08,0.26,17.5,27,7,9,49.9,43,0.09,-2.9,-3
Ligue 1,M,FRA,2019,vs Toulouse,opponent,29,38,56,576,175,30.4,15.16,4.61,0.09,0.29,18.4,32,5,6,58.3,53.7,0.1,-2.3,-2.7
Ligue 1,M,FRA,2018,Amiens,team,30,38,36,372,110,29.6,9.79,2.89,0.09,0.3,19.3,13,3,4,35.2,32.2,0.09,0.8,0.8
Ligue 1,M,FRA,2018,Angers,team,27,38,41,467,155,33.2,12.29,4.08,0.08,0.24,18.2,19,4,4,45.6,42.6,0.09,-4.6,-5.6
Ligue 1,M,FRA,2018,Bordeaux,team,31,38,52,492,157,31.9,12.95,4.13,0.1,0.31,18.2,23,4,6,52.6,47.8,0.1,-0.6,0.2
Ligue 1,M,FRA,2018,Caen,team,26,38,25,474,125,26.4,12.47,3.29,0.04,0.16,19.3,12,5,8,42.3,36.3,0.08,-17.3,-16.3
Ligue 1,M,FRA,2018,Dijon,team,26,38,52,455,166,36.5,11.97,4.37,0.1,0.28,18.5,26,5,5,42.9,39.1,0.09,9.1,7.9
Ligue 1,M,FRA,2018,Guingamp,team,23,38,46,462,162,35.1,12.16,4.26,0.09,0.25,18,34,6,7,45.4,40.4,0.09,0.6,-0.4
Ligue 1,M,FRA,2018,Lille,team,25,38,41,441,144,32.7,11.61,3.79,0.09,0.27,19.9,22,2,2,37.7,36.2,0.08,3.3,2.8
Ligue 1,M,FRA,2018,Lyon,team,26,38,85,602,229,38,15.84,6.03,0.13,0.34,17.9,54,6,7,66.9,61.8,0.11,18.1,17.2
Ligue 1,M,FRA,2018,Marseille,team,26,38,79,629,222,35.3,16.55,5.84,0.12,0.33,16.9,23,5,8,72.2,66.2,0.11,6.8,7.8
Ligue 1,M,FRA,2018,Metz,team,36,38,33,448,167,37.3,11.79,4.39,0.07,0.18,18.6,16,3,4,37.9,35,0.08,-4.9,-5
Ligue 1,M,FRA,2018,Monaco,team,32,38,83,496,174,35.1,13.05,4.58,0.15,0.44,17,31,7,8,61.5,55.6,0.12,21.5,20.4
Ligue 1,M,FRA,2018,Montpellier,team,23,38,36,501,159,31.7,13.18,4.18,0.07,0.23,19.3,25,0,2,42.4,40.9,0.08,-6.4,-4.9
Ligue 1,M,FRA,2018,Nantes,team,30,38,36,522,140,26.8,13.74,3.68,0.06,0.23,18.6,35,4,5,43.3,39.5,0.08,-7.3,-7.5
Ligue 1,M,FRA,2018,Nice,team,31,38,52,491,175,35.6,12.92,4.61,0.09,0.25,18.6,32,8,10,51.7,44.3,0.09,0.3,-0.3
Ligue 1,M,FRA,2018,Paris S-G,team,26,38,100,637,249,39.1,16.76,6.55,0.15,0.37,16.4,37,7,9,89.1,82.6,0.13,10.9,10.4
Ligue 1,M,FRA,2018,Rennes,team,28,38,48,474,146,30.8,12.47,3.84,0.09,0.29,18.8,30,6,8,49.4,43.4,0.09,-1.4,-1.4
Ligue 1,M,FRA,2018,Saint-Étienne,team,30,38,45,443,147,33.2,11.66,3.87,0.09,0.26,17.5,19,7,11,52.2,44.2,0.11,-7.2,-6.2
Ligue 1,M,FRA,2018,Strasbourg,team,25,38,43,464,127,27.4,12.21,3.34,0.08,0.28,18,22,7,7,45.3,40,0.09,-1.3,-3
Ligue 1,M,FRA,2018,Toulouse,team,25,38,35,437,140,32,11.5,3.68,0.06,0.19,18,24,8,11,46,37.8,0.09,-10,-9.8
Ligue 1,M,FRA,2018,Troyes,team,25,38,30,365,124,34,9.61,3.26,0.08,0.23,17.7,16,2,3,36.6,34.3,0.1,-6.6,-6.3
Ligue 1,M,FRA,2018,vs Amiens,opponent,30,38,42,621,184,29.6,16.34,4.84,0.06,0.21,18.5,28,4,4,55.5,52.5,0.09,-13.5,-14.5
Ligue 1,M,FRA,2018,vs Angers,opponent,27,38,48,421,143,34,11.08,3.76,0.1,0.29,18.7,26,7,7,44,38.7,0.09,4,2.3
Ligue 1,M,FRA,2018,vs Bordeaux,opponent,31,38,47,420,127,30.2,11.05,3.34,0.1,0.34,19.6,37,4,8,40.7,35,0.09,6.3,8
Ligue 1,M,FRA,2018,vs Caen,opponent,26,38,48,467,151,32.3,12.29,3.97,0.09,0.28,17.9,25,5,5,48.8,45,0.1,-0.8,-2
Ligue 1,M,FRA,2018,vs Dijon,opponent,26,38,70,528,199,37.7,13.89,5.24,0.11,0.3,17.8,38,11,14,69.1,58.7,0.12,0.9,0.3
Ligue 1,M,FRA,2018,vs Guingamp,opponent,23,38,58,506,169,33.4,13.32,4.45,0.1,0.31,18,25,5,7,53.8,48.3,0.1,4.2,4.7
Ligue 1,M,FRA,2018,vs Lille,opponent,25,38,64,502,183,36.5,13.21,4.82,0.12,0.32,17.6,19,5,7,56.8,51.6,0.11,7.2,7.4
Ligue 1,M,FRA,2018,vs Lyon,opponent,26,38,40,443,147,33.2,11.66,3.87,0.08,0.24,19.3,28,5,8,39.7,33.6,0.08,0.3,1.4
Ligue 1,M,FRA,2018,vs Marseille,opponent,26,38,45,412,144,35,10.84,3.79,0.1,0.28,17.3,22,4,6,41.9,37.4,0.09,3.1,3.6
Ligue 1,M,FRA,2018,vs Metz,opponent,36,38,74,547,213,38.9,14.39,5.61,0.13,0.33,16.7,24,3,5,67,63.1,0.12,7,7.9
Ligue 1,M,FRA,2018,vs Monaco,opponent,32,38,44,463,152,32.8,12.18,4,0.08,0.26,17.9,25,5,5,47,43.8,0.1,-3,-4.8
Ligue 1,M,FRA,2018,vs Montpellier,opponent,23,38,33,401,121,30.2,10.55,3.18,0.07,0.23,18.6,26,5,6,41.7,37.3,0.1,-8.7,-9.3
Ligue 1,M,FRA,2018,vs Nantes,opponent,30,38,40,493,137,27.8,12.97,3.61,0.08,0.27,18.4,25,3,4,41.3,38.3,0.08,-1.3,-1.3
Ligue 1,M,FRA,2018,vs Nice,opponent,31,38,49,509,157,30.8,13.39,4.13,0.09,0.29,18.5,24,3,5,48.1,44.4,0.09,0.9,1.6
Ligue 1,M,FRA,2018,vs Paris S-G,opponent,26,38,29,417,122,29.3,10.97,3.21,0.06,0.21,20.5,25,3,5,32.3,28.6,0.07,-3.3,-2.6
Ligue 1,M,FRA,2018,vs Rennes,opponent,28,38,42,450,151,33.6,11.84,3.97,0.08,0.25,17.7,17,5,8,53.5,47.4,0.11,-11.5,-10.4
Ligue 1,M,FRA,2018,vs Saint-Étienne,opponent,30,38,49,542,177,32.7,14.26,4.66,0.08,0.24,18,24,6,7,51.6,46.3,0.09,-2.6,-3.3
Ligue 1,M,FRA,2018,vs Strasbourg,opponent,25,38,67,472,177,37.5,12.42,4.66,0.13,0.34,17,24,6,7,56.1,50.8,0.11,10.9,10.2
Ligue 1,M,FRA,2018,vs Toulouse,opponent,25,38,53,487,161,33.1,12.82,4.24,0.1,0.29,17.6,27,6,6,53.1,48.8,0.1,-0.1,-1.8
Ligue 1,M,FRA,2018,vs Troyes,opponent,25,38,58,571,203,35.6,15.03,5.34,0.09,0.27,18.5,24,4,5,54.2,50.6,0.09,3.8,3.4
Fußball-Bundesliga,M,GER,2020,Augsburg,team,28,34,45,358,128,35.8,10.53,3.76,0.12,0.33,18.5,24,3,5,42.1,38.2,0.11,2.9,3.8
Fußball-Bundesliga,M,GER,2020,Bayern Munich,team,29,34,97,611,241,39.4,17.97,7.09,0.15,0.38,15.9,13,6,6,82.3,77.8,0.13,14.7,13.2
Fußball-Bundesliga,M,GER,2020,Dortmund,team,27,34,84,443,186,42,13.03,5.47,0.19,0.44,16.2,14,2,2,59.2,57.9,0.13,24.8,24.1
Fußball-Bundesliga,M,GER,2020,Düsseldorf,team,28,34,36,424,114,26.9,12.47,3.35,0.08,0.28,19.3,20,4,4,33,30,0.07,3,2
Fußball-Bundesliga,M,GER,2020,Eint Frankfurt,team,27,34,57,492,173,35.2,14.47,5.09,0.11,0.32,16.2,17,2,2,52.5,51,0.11,4.5,4
Fußball-Bundesliga,M,GER,2020,Freiburg,team,26,34,46,435,140,32.2,12.79,4.12,0.09,0.29,17.4,26,5,6,41.7,37.2,0.09,4.3,3.8
