competition_name,gender,country,season_end_year,squad,team_or_opponent,num_players,mins_per_90,gls_standard,sh_standard,so_t_standard,so_t_percent_standard,sh_per_90_standard,so_t_per_90_standard,g_per_sh_standard,g_per_so_t_standard,dist_standard,fk_standard,pk_standard,p_katt_standard,x_g_expected,npx_g_expected,npx_g_per_sh_expected,g_minus_x_g_expected,np_g_minus_x_g_expected
Fußball-Bundesliga,M,GER,2020,Hertha BSC,team,32,34,46,359,120,33.4,10.56,3.53,0.12,0.36,16.9,12,3,3,40.6,38.3,0.11,5.4,4.7
Fußball-Bundesliga,M,GER,2020,Hoffenheim,team,31,34,52,444,154,34.7,13.06,4.53,0.11,0.32,16.6,24,3,4,49.9,46.9,0.11,2.1,2.1
Fußball-Bundesliga,M,GER,2020,Köln,team,29,34,50,413,147,35.6,12.15,4.32,0.12,0.33,16.2,20,2,4,47.2,44.5,0.11,2.8,3.5
Fußball-Bundesliga,M,GER,2020,Leverkusen,team,24,34,57,490,183,37.3,14.41,5.38,0.11,0.3,16.2,4,2,2,56.6,55.1,0.12,0.4,-0.1
Fußball-Bundesliga,M,GER,2020,M'Gladbach,team,25,34,64,476,189,39.7,14,5.56,0.13,0.32,16.3,23,4,6,66.4,61.7,0.13,-2.4,-1.7
Fußball-Bundesliga,M,GER,2020,Mainz 05,team,25,34,42,446,139,31.2,13.12,4.09,0.09,0.28,18.1,12,3,3,44.3,42.2,0.1,-2.3,-3.2
Fußball-Bundesliga,M,GER,2020,Paderborn 07,team,27,34,37,424,130,30.7,12.47,3.82,0.08,0.27,19.1,20,2,4,38.6,35.6,0.09,-1.6,-0.6
Fußball-Bundesliga,M,GER,2020,RB Leipzig,team,29,34,81,539,205,38,15.85,6.03,0.14,0.37,16.4,23,5,5,70.9,67.3,0.13,10.1,8.7
Fußball-Bundesliga,M,GER,2020,Schalke 04,team,29,34,35,383,123,32.1,11.26,3.62,0.09,0.27,17.6,10,2,2,35.4,33.8,0.09,-0.4,-0.8
Fußball-Bundesliga,M,GER,2020,Union Berlin,team,26,34,38,389,133,34.2,11.44,3.91,0.09,0.26,17.8,7,4,5,38.3,34.5,0.09,-0.3,-0.5
Fußball-Bundesliga,M,GER,2020,Werder Bremen,team,30,34,40,419,135,32.2,12.32,3.97,0.09,0.27,17.7,10,3,6,41.4,36.9,0.09,-1.4,0.1
Fußball-Bundesliga,M,GER,2020,Wolfsburg,team,26,34,48,466,155,33.3,13.71,4.56,0.09,0.28,17.5,11,4,4,47.3,44.3,0.1,0.7,-0.3
Fußball-Bundesliga,M,GER,2020,vs Augsburg,opponent,28,34,60,474,157,33.1,13.94,4.62,0.13,0.38,17.3,20,0,1,54.9,54.2,0.12,5.1,5.8
Fußball-Bundesliga,M,GER,2020,vs Bayern Munich,opponent,29,34,31,312,114,36.5,9.18,3.35,0.09,0.25,17.2,12,3,4,34.3,31.3,0.1,-3.3,-3.3
Fußball-Bundesliga,M,GER,2020,vs Dortmund,opponent,27,34,38,348,100,28.7,10.24,2.94,0.1,0.35,17.7,13,3,3,39.4,37.3,0.11,-1.4,-2.3
Fußball-Bundesliga,M,GER,2020,vs Düsseldorf,opponent,28,34,63,456,171,37.5,13.41,5.03,0.13,0.35,16.8,20,3,5,56.2,53,0.12,6.8,7
Fußball-Bundesliga,M,GER,2020,vs Eint Frankfurt,opponent,27,34,58,439,172,39.2,12.91,5.06,0.13,0.32,17.6,20,3,3,49.1,46.9,0.11,8.9,8.1
Fußball-Bundesliga,M,GER,2020,vs Freiburg,opponent,26,34,47,601,188,31.3,17.68,5.53,0.07,0.23,17.8,15,3,4,60.9,57.8,0.1,-13.9,-13.8
Fußball-Bundesliga,M,GER,2020,vs Hertha BSC,opponent,32,34,57,471,162,34.4,13.85,4.76,0.11,0.31,17.7,20,7,7,51.4,46.1,0.1,5.6,3.9
Fußball-Bundesliga,M,GER,2020,vs Hoffenheim,opponent,31,34,51,484,163,33.7,14.24,4.79,0.09,0.28,17.2,12,6,8,51.8,45.8,0.1,-0.8,-0.8
Fußball-Bundesliga,M,GER,2020,vs Köln,opponent,29,34,67,449,152,33.9,13.21,4.47,0.14,0.41,18.1,19,4,6,51.5,46.9,0.11,15.5,16.1
Fußball-Bundesliga,M,GER,2020,vs Leverkusen,opponent,24,34,44,371,137,36.9,10.91,4.03,0.11,0.31,16.6,14,2,2,45.1,43.6,0.12,-1.1,-1.6
Fußball-Bundesliga,M,GER,2020,vs M'Gladbach,opponent,25,34,40,457,152,33.3,13.44,4.47,0.09,0.26,16.6,15,1,2,42.4,40.9,0.09,-2.4,-1.9
Fußball-Bundesliga,M,GER,2020,vs Mainz 05,opponent,25,34,64,493,177,35.9,14.5,5.21,0.12,0.34,16.9,21,3,5,57.3,53.4,0.11,6.7,7.6
Fußball-Bundesliga,M,GER,2020,vs Paderborn 07,opponent,27,34,73,494,179,36.2,14.53,5.26,0.14,0.39,15.5,15,4,5,67.4,63.6,0.13,5.6,5.4
Fußball-Bundesliga,M,GER,2020,vs RB Leipzig,opponent,29,34,37,352,122,34.7,10.35,3.59,0.1,0.29,17,6,2,2,36.4,34.9,0.1,0.6,0.1
Fußball-Bundesliga,M,GER,2020,vs Schalke 04,opponent,29,34,56,456,166,36.4,13.41,4.88,0.11,0.3,16.9,15,6,6,49.7,45.3,0.1,6.3,4.7
Fußball-Bundesliga,M,GER,2020,vs Union Berlin,opponent,26,34,57,487,168,34.5,14.32,4.94,0.11,0.32,17.6,28,3,4,51.5,48.5,0.1,5.5,5.5
Fußball-Bundesliga,M,GER,2020,vs Werder Bremen,opponent,30,34,66,491,175,35.6,14.44,5.15,0.13,0.37,16.9,11,1,1,48.1,47.3,0.1,17.9,17.7
Fußball-Bundesliga,M,GER,2020,vs Wolfsburg,opponent,26,34,46,376,140,37.2,11.06,4.12,0.11,0.29,17,14,5,5,40.1,36.6,0.1,5.9,4.4
Fußball-Bundesliga,M,GER,2019,Augsburg,team,30,34,50,443,158,35.7,13.03,4.65,0.1,0.28,17.9,18,5,5,43.2,39.5,0.09,6.8,5.5
Fußball-Bundesliga,M,GER,2019,Bayern Munich,team,24,34,86,620,246,39.7,18.24,7.24,0.13,0.34,15.5,28,3,4,81,78,0.13,5,5
Fußball-Bundesliga,M,GER,2019,Dortmund,team,23,34,80,444,178,40.1,13.06,5.24,0.17,0.43,16.1,17,4,4,58.3,55.3,0.13,21.7,20.7
Fußball-Bundesliga,M,GER,2019,Düsseldorf,team,24,34,48,405,155,38.3,11.91,4.56,0.11,0.28,17.7,15,5,7,46.7,41.4,0.11,1.3,1.6
Fußball-Bundesliga,M,GER,2019,Eint Frankfurt,team,30,34,60,402,146,36.3,11.82,4.29,0.14,0.38,16,11,4,4,55.4,52.4,0.13,4.6,3.6
Fußball-Bundesliga,M,GER,2019,Freiburg,team,28,34,44,414,153,37,12.18,4.5,0.09,0.25,18.5,15,5,6,42.2,37.6,0.09,1.8,1.4
Fußball-Bundesliga,M,GER,2019,Hannover 96,team,32,34,30,380,113,29.7,11.18,3.32,0.07,0.24,17.7,11,3,3,33.8,31.5,0.08,-3.8,-4.5
Fußball-Bundesliga,M,GER,2019,Hertha BSC,team,26,34,49,394,144,36.5,11.59,4.24,0.11,0.31,15.8,14,4,4,48,45,0.12,1,0
Fußball-Bundesliga,M,GER,2019,Hoffenheim,team,29,34,69,596,214,35.9,17.53,6.29,0.11,0.29,16.2,15,6,7,73.2,68.1,0.12,-4.2,-5.1
Fußball-Bundesliga,M,GER,2019,Leverkusen,team,21,34,68,512,188,36.7,15.06,5.53,0.13,0.34,16.7,25,4,5,62.1,58.4,0.12,5.9,5.6
Fußball-Bundesliga,M,GER,2019,M'Gladbach,team,22,34,53,440,146,33.2,12.94,4.29,0.11,0.34,17.2,16,4,7,51.1,45.8,0.11,1.9,3.2
Fußball-Bundesliga,M,GER,2019,Mainz 05,team,28,34,44,482,145,30.1,14.18,4.26,0.09,0.28,18.1,17,3,3,48.4,46.1,0.1,-4.4,-5.1
Fußball-Bundesliga,M,GER,2019,Nürnberg,team,27,34,25,346,102,29.5,10.18,3,0.07,0.23,19,18,2,6,33.1,28.6,0.09,-8.1,-5.6
Fußball-Bundesliga,M,GER,2019,RB Leipzig,team,23,34,63,487,172,35.3,14.32,5.06,0.12,0.34,16.3,18,5,7,61,55.7,0.12,2,2.3
Fußball-Bundesliga,M,GER,2019,Schalke 04,team,32,34,37,407,121,29.7,11.97,3.56,0.07,0.25,17.3,18,7,9,43.1,36.3,0.09,-6.1,-6.3
Fußball-Bundesliga,M,GER,2019,Stuttgart,team,26,34,32,404,118,29.2,11.88,3.47,0.08,0.26,17.3,16,1,1,38.9,38.2,0.1,-6.9,-7.2
Fußball-Bundesliga,M,GER,2019,Werder Bremen,team,24,34,57,453,171,37.7,13.32,5.03,0.12,0.31,16.7,11,4,4,49.7,46.7,0.11,7.3,6.3
Fußball-Bundesliga,M,GER,2019,Wolfsburg,team,25,34,59,409,157,38.4,12.03,4.62,0.13,0.34,17.2,15,5,5,46.3,42.8,0.11,12.7,11.2
Fußball-Bundesliga,M,GER,2019,vs Augsburg,opponent,30,34,69,505,180,35.6,14.85,5.29,0.13,0.38,16.1,19,1,2,57.4,55.9,0.11,11.6,12.1
Fußball-Bundesliga,M,GER,2019,vs Bayern Munich,opponent,24,34,31,248,71,28.6,7.29,2.09,0.1,0.37,19,7,5,6,25.9,21.4,0.09,5.1,4.6
Fußball-Bundesliga,M,GER,2019,vs Dortmund,opponent,23,34,44,339,130,38.3,9.97,3.82,0.12,0.31,16.4,10,4,5,39.6,35.8,0.11,4.4,4.2
Fußball-Bundesliga,M,GER,2019,vs Düsseldorf,opponent,24,34,65,482,173,35.9,14.18,5.09,0.12,0.34,17.1,19,7,7,60.2,55.1,0.12,4.8,2.9
Fußball-Bundesliga,M,GER,2019,vs Eint Frankfurt,opponent,30,34,47,450,167,37.1,13.24,4.91,0.1,0.28,16.5,16,1,1,50.5,49.7,0.11,-3.5,-3.7
Fußball-Bundesliga,M,GER,2019,vs Freiburg,opponent,28,34,61,507,167,32.9,14.91,4.91,0.11,0.32,18.3,26,7,7,55.5,50.3,0.1,5.5,3.7
Fußball-Bundesliga,M,GER,2019,vs Hannover 96,opponent,32,34,70,551,220,39.9,16.21,6.47,0.12,0.29,17,13,6,7,66.2,61,0.11,3.8,3
Fußball-Bundesliga,M,GER,2019,vs Hertha BSC,opponent,26,34,55,493,154,31.2,14.5,4.53,0.1,0.33,16.8,12,4,6,59.5,55.2,0.12,-4.5,-4.2
Fußball-Bundesliga,M,GER,2019,vs Hoffenheim,opponent,29,34,51,462,165,35.7,13.59,4.85,0.1,0.27,16.6,15,7,7,51.9,46.6,0.1,-0.9,-2.6
Fußball-Bundesliga,M,GER,2019,vs Leverkusen,opponent,21,34,49,377,137,36.3,11.09,4.03,0.12,0.33,17.2,12,4,6,43.6,39.1,0.11,5.4,5.9
Fußball-Bundesliga,M,GER,2019,vs M'Gladbach,opponent,22,34,42,441,154,34.9,12.97,4.53,0.09,0.25,16.4,11,3,3,49.5,47.2,0.11,-7.5,-8.2
Fußball-Bundesliga,M,GER,2019,vs Mainz 05,opponent,28,34,57,506,169,33.4,14.88,4.97,0.11,0.32,16.8,21,3,4,57.2,54.3,0.11,-0.2,-0.3
Fußball-Bundesliga,M,GER,2019,vs Nürnberg,opponent,27,34,66,513,176,34.3,15.09,5.18,0.12,0.36,16.7,18,2,4,55.7,52.7,0.1,10.3,11.3
Fußball-Bundesliga,M,GER,2019,vs RB Leipzig,opponent,23,34,28,304,111,36.5,8.94,3.26,0.08,0.21,16,10,5,6,35,30.5,0.1,-7,-7.5
Fußball-Bundesliga,M,GER,2019,vs Schalke 04,opponent,32,34,54,451,157,34.8,13.26,4.62,0.11,0.31,18,28,5,6,49.8,45.3,0.11,4.2,3.7
Fußball-Bundesliga,M,GER,2019,vs Stuttgart,opponent,26,34,66,510,178,34.9,15,5.24,0.13,0.36,17.3,27,2,3,57.5,55.2,0.11,8.5,8.8
Fußball-Bundesliga,M,GER,2019,vs Werder Bremen,opponent,24,34,49,460,156,33.9,13.53,4.59,0.1,0.29,16.6,18,4,5,54,50.3,0.11,-5,-5.3
Fußball-Bundesliga,M,GER,2019,vs Wolfsburg,opponent,25,34,50,439,162,36.9,12.91,4.76,0.1,0.28,17.5,16,4,6,46.4,41.9,0.1,3.6,4.1
Fußball-Bundesliga,M,GER,2018,Augsburg,team,27,34,41,432,141,32.6,12.71,4.15,0.09,0.26,17.5,20,4,4,45,42,0.1,-4,-5
Fußball-Bundesliga,M,GER,2018,Bayern Munich,team,28,34,90,599,222,37.1,17.62,6.53,0.14,0.38,15.8,22,6,8,77.8,71.9,0.12,12.2,12.1
Fußball-Bundesliga,M,GER,2018,Dortmund,team,30,34,62,472,166,35.2,13.88,4.88,0.13,0.36,15.7,4,3,6,63.6,59.2,0.13,-1.6,-0.2
Fußball-Bundesliga,M,GER,2018,Eint Frankfurt,team,28,34,44,387,140,36.2,11.38,4.12,0.11,0.3,16.5,9,2,2,43.4,41.8,0.11,0.6,0.2
Fußball-Bundesliga,M,GER,2018,Freiburg,team,29,34,32,369,109,29.5,10.85,3.21,0.07,0.24,18.5,16,6,10,41.2,33.7,0.1,-9.2,-7.7
Fußball-Bundesliga,M,GER,2018,Hamburger SV,team,29,34,28,390,125,32.1,11.47,3.68,0.06,0.2,17.7,17,3,5,37.1,33.4,0.09,-9.1,-8.4
Fußball-Bundesliga,M,GER,2018,Hannover 96,team,26,34,44,435,140,32.2,12.79,4.12,0.09,0.29,17.5,17,4,5,46.1,42.1,0.1,-2.1,-2.1
Fußball-Bundesliga,M,GER,2018,Hertha BSC,team,25,34,43,317,129,40.7,9.32,3.79,0.12,0.3,16.9,13,4,5,39.9,36.1,0.12,3.1,2.9
Fußball-Bundesliga,M,GER,2018,Hoffenheim,team,26,34,64,470,169,36,13.82,4.97,0.13,0.36,17.3,13,4,5,51.8,48,0.11,12.2,12
Fußball-Bundesliga,M,GER,2018,Köln,team,31,34,33,395,118,29.9,11.62,3.47,0.08,0.25,17.7,13,3,3,42.2,40,0.1,-9.2,-10
Fußball-Bundesliga,M,GER,2018,Leverkusen,team,24,34,58,507,166,32.7,14.91,4.88,0.11,0.33,16.9,22,3,5,59.1,55.3,0.11,-1.1,-0.3
Fußball-Bundesliga,M,GER,2018,M'Gladbach,team,27,34,46,447,150,33.6,13.15,4.41,0.09,0.27,16.9,15,6,7,51.4,46.6,0.11,-5.4,-6.6
Fußball-Bundesliga,M,GER,2018,Mainz 05,team,27,34,38,418,140,33.5,12.29,4.12,0.08,0.24,20.1,17,4,4,35.3,32.3,0.08,2.7,1.7
Fußball-Bundesliga,M,GER,2018,RB Leipzig,team,23,34,57,489,173,35.4,14.38,5.09,0.11,0.31,17.2,22,4,5,54.3,50.6,0.11,2.7,2.4
Fußball-Bundesliga,M,GER,2018,Schalke 04,team,24,34,50,397,155,39,11.68,4.56,0.1,0.26,17.4,7,10,10,47.8,40.2,0.11,2.2,-0.2
Fußball-Bundesliga,M,GER,2018,Stuttgart,team,26,34,35,364,117,32.1,10.71,3.44,0.09,0.29,17.2,17,1,3,39.6,37.4,0.11,-4.6,-3.4
Fußball-Bundesliga,M,GER,2018,Werder Bremen,team,25,34,34,437,143,32.7,12.85,4.21,0.08,0.24,17.1,20,0,0,40,40,0.09,-6,-6
Fußball-Bundesliga,M,GER,2018,Wolfsburg,team,29,34,36,349,114,32.7,10.26,3.35,0.1,0.31,18.3,23,1,6,39.2,34.4,0.1,-3.2,0.6
Fußball-Bundesliga,M,GER,2018,vs Augsburg,opponent,27,34,46,461,165,35.8,13.56,4.85,0.1,0.27,17.8,21,2,3,43,40.7,0.09,3,3.3
Fußball-Bundesliga,M,GER,2018,vs Bayern Munich,opponent,28,34,25,286,93,32.5,8.41,2.74,0.08,0.26,17.8,13,1,4,33.7,30.4,0.11,-8.7,-6.4
Fußball-Bundesliga,M,GER,2018,vs Dortmund,opponent,30,34,47,364,147,40.4,10.71,4.32,0.12,0.3,17.2,13,3,3,44.6,42.3,0.12,2.4,1.7
Fußball-Bundesliga,M,GER,2018,vs Eint Frankfurt,opponent,28,34,43,398,133,33.4,11.71,3.91,0.1,0.31,17,13,2,3,42.1,40.3,0.1,0.9,0.7
Fußball-Bundesliga,M,GER,2018,vs Freiburg,opponent,29,34,52,484,149,30.8,14.24,4.38,0.1,0.32,17.3,13,4,5,50.6,46.8,0.1,1.4,1.2
Fußball-Bundesliga,M,GER,2018,vs Hamburger SV,opponent,29,34,52,446,140,31.4,13.12,4.12,0.11,0.35,16.7,16,3,4,52.7,49.7,0.11,-0.7,-0.7
Fußball-Bundesliga,M,GER,2018,vs Hannover 96,opponent,26,34,54,494,173,35,14.53,5.09,0.11,0.3,17.7,18,2,4,54.4,51.4,0.11,-0.4,0.6
Fußball-Bundesliga,M,GER,2018,vs Hertha BSC,opponent,25,34,45,431,142,32.9,12.68,4.18,0.09,0.27,17.3,14,6,7,46.5,41.3,0.1,-1.5,-2.3
Fußball-Bundesliga,M,GER,2018,vs Hoffenheim,opponent,26,34,46,428,146,34.1,12.59,4.29,0.1,0.29,17.2,19,3,4,47.5,44.4,0.11,-1.5,-1.4
Fußball-Bundesliga,M,GER,2018,vs Köln,opponent,31,34,70,532,197,37,15.65,5.79,0.12,0.31,16.4,20,8,9,67.9,61.2,0.12,2.1,0.8
Fußball-Bundesliga,M,GER,2018,vs Leverkusen,opponent,24,34,44,342,111,32.5,10.06,3.26,0.11,0.35,17.7,12,5,6,37,32.5,0.1,7,6.5
Fußball-Bundesliga,M,GER,2018,vs M'Gladbach,opponent,27,34,51,498,169,33.9,14.65,4.97,0.09,0.28,17,15,4,4,51.7,48.7,0.1,-0.7,-1.7
Fußball-Bundesliga,M,GER,2018,vs Mainz 05,opponent,27,34,51,437,136,31.1,12.85,4,0.11,0.34,17.2,22,5,7,51.6,46.5,0.11,-0.6,-0.5
Fußball-Bundesliga,M,GER,2018,vs RB Leipzig,opponent,23,34,53,380,147,38.7,11.18,4.32,0.13,0.33,16.7,10,5,5,45.7,41.9,0.11,7.3,6.1
Fußball-Bundesliga,M,GER,2018,vs Schalke 04,opponent,24,34,36,369,123,33.3,10.85,3.62,0.09,0.27,17.7,14,3,6,42.3,37.8,0.11,-6.3,-4.8
Fußball-Bundesliga,M,GER,2018,vs Stuttgart,opponent,26,34,36,440,146,33.2,12.94,4.29,0.07,0.22,17.8,15,4,6,45.7,41.1,0.1,-9.7,-9.1
Fußball-Bundesliga,M,GER,2018,vs Werder Bremen,opponent,25,34,38,427,157,36.8,12.56,4.62,0.08,0.23,17.3,16,2,4,48.5,45.3,0.11,-10.5,-9.3
Fußball-Bundesliga,M,GER,2018,vs Wolfsburg,opponent,29,34,46,457,143,31.3,13.44,4.21,0.09,0.28,17.8,23,6,9,49.5,42.9,0.1,-3.5,-2.9
Serie A,M,ITA,2020,Atalanta,team,30,38,96,701,255,36.4,18.45,6.71,0.13,0.35,16.5,29,7,10,81.9,74.2,0.11,14.1,14.8
Serie A,M,ITA,2020,Bologna,team,31,38,48,544,163,30,14.32,4.29,0.08,0.26,18.2,28,5,6,53.1,48.6,0.09,-5.1,-5.6
Serie A,M,ITA,2020,Brescia,team,32,38,34,414,138,33.3,10.89,3.63,0.07,0.22,17,23,4,4,42.4,39.4,0.1,-8.4,-9.4
Serie A,M,ITA,2020,Cagliari,team,33,38,50,439,137,31.2,11.55,3.61,0.1,0.34,19.1,15,4,6,41.4,36.8,0.09,8.6,9.2
Serie A,M,ITA,2020,Fiorentina,team,33,38,49,543,169,31.1,14.29,4.45,0.07,0.24,17.4,23,9,11,54.6,46.7,0.09,-5.6,-6.7
Serie A,M,ITA,2020,Genoa,team,34,38,46,418,142,34,11,3.74,0.08,0.25,18.6,25,11,16,47.4,35.3,0.09,-1.4,-0.3
Serie A,M,ITA,2020,Hellas Verona,team,30,38,45,439,146,33.3,11.55,3.84,0.08,0.25,16.5,12,8,9,49.1,42.3,0.1,-4.1,-5.3
Serie A,M,ITA,2020,Inter,team,29,38,80,616,217,35.2,16.21,5.71,0.11,0.32,16.7,22,10,11,72.1,63.7,0.11,7.9,6.3
Serie A,M,ITA,2020,Juventus,team,30,38,73,667,222,33.3,17.55,5.84,0.09,0.27,18.3,38,13,14,68.9,58.3,0.09,4.1,1.7
Serie A,M,ITA,2020,Lazio,team,27,38,77,564,203,36,14.84,5.34,0.11,0.31,17.3,21,15,18,68.4,54.9,0.1,8.6,7.1
Serie A,M,ITA,2020,Lecce,team,30,38,52,511,163,31.9,13.45,4.29,0.08,0.25,18.6,16,11,15,53.9,43.1,0.09,-1.9,-2.1
Serie A,M,ITA,2020,Milan,team,32,38,60,611,187,30.6,16.08,4.92,0.09,0.28,18.2,24,8,9,60.1,53.4,0.09,-0.1,-1.4
Serie A,M,ITA,2020,Napoli,team,25,38,60,682,225,33,17.95,5.92,0.08,0.24,18.2,17,5,5,62.5,58.7,0.09,-2.5,-3.7
Serie A,M,ITA,2020,Parma,team,25,38,53,453,145,32,11.92,3.82,0.11,0.34,18.5,21,4,6,46.7,42.2,0.09,6.3,6.8
Serie A,M,ITA,2020,Roma,team,31,38,73,632,198,31.3,16.63,5.21,0.1,0.31,17.6,35,12,14,72.7,62.4,0.1,0.3,-1.4
Serie A,M,ITA,2020,Sampdoria,team,31,38,48,550,161,29.3,14.47,4.24,0.07,0.24,18.5,23,9,12,51.2,42,0.08,-3.2,-3
Serie A,M,ITA,2020,Sassuolo,team,31,38,69,544,192,35.3,14.32,5.05,0.12,0.33,19.2,32,5,6,56,51.4,0.1,13,12.6
Serie A,M,ITA,2020,SPAL,team,34,38,27,457,114,24.9,12.03,3,0.05,0.19,18.5,17,5,7,39.1,33.8,0.08,-12.1,-11.8
Serie A,M,ITA,2020,Torino,team,27,38,44,437,139,31.8,11.5,3.66,0.08,0.27,17.6,19,7,8,42.4,37.1,0.09,1.6,-0.1
Serie A,M,ITA,2020,Udinese,team,25,38,37,476,143,30,12.53,3.76,0.08,0.26,17.6,11,0,0,40.7,40.7,0.09,-3.7,-3.7
Serie A,M,ITA,2020,vs Atalanta,opponent,30,38,46,415,133,32,10.92,3.5,0.1,0.3,19.9,24,6,6,41.4,36.8,0.09,4.6,3.2
Serie A,M,ITA,2020,vs Bologna,opponent,31,38,64,531,182,34.3,13.97,4.79,0.11,0.32,17.9,23,6,8,54.6,48.5,0.1,9.4,9.5
Serie A,M,ITA,2020,vs Brescia,opponent,32,38,76,688,228,33.1,18.11,6,0.1,0.29,16.6,22,9,11,77.7,69.6,0.11,-1.7,-2.6
Serie A,M,ITA,2020,vs Cagliari,opponent,33,38,53,606,184,30.4,15.95,4.84,0.08,0.25,17.3,34,7,9,57.2,51.1,0.09,-4.2,-5.1
Serie A,M,ITA,2020,vs Fiorentina,opponent,33,38,48,432,150,34.7,11.37,3.95,0.09,0.26,18.3,26,9,11,48.9,40.8,0.1,-0.9,-1.8
Serie A,M,ITA,2020,vs Genoa,opponent,34,38,71,583,188,32.2,15.34,4.95,0.11,0.34,17.8,28,7,9,59.3,52.6,0.09,11.7,11.4
Serie A,M,ITA,2020,vs Hellas Verona,opponent,30,38,50,580,161,27.8,15.26,4.24,0.07,0.25,18,21,9,9,52.6,45.8,0.08,-2.6,-4.8
Serie A,M,ITA,2020,vs Inter,opponent,29,38,35,450,114,25.3,11.84,3,0.07,0.28,18.3,24,3,4,40.7,37.7,0.09,-5.7,-5.7
Serie A,M,ITA,2020,vs Juventus,opponent,30,38,43,458,152,33.2,12.05,4,0.07,0.22,19.1,20,9,12,41.8,32.8,0.07,1.2,1.2
Serie A,M,ITA,2020,vs Lazio,opponent,27,38,41,507,145,28.6,13.34,3.82,0.07,0.23,19.1,25,7,9,49.6,42.8,0.09,-8.6,-8.8
Serie A,M,ITA,2020,vs Lecce,opponent,30,38,82,681,244,35.8,17.92,6.42,0.1,0.29,16.7,19,11,13,84.1,74.3,0.11,-2.1,-3.3
Serie A,M,ITA,2020,vs Milan,opponent,32,38,45,435,145,33.3,11.45,3.82,0.09,0.28,18.5,18,5,10,47.6,40.2,0.1,-2.6,-0.2
Serie A,M,ITA,2020,vs Napoli,opponent,25,38,49,399,129,32.3,10.5,3.39,0.11,0.33,17.4,10,7,8,39.3,33.3,0.09,9.7,8.7
Serie A,M,ITA,2020,vs Parma,opponent,25,38,57,660,201,30.5,17.37,5.29,0.08,0.25,17.8,24,7,11,62,54.3,0.08,-5,-4.3
Serie A,M,ITA,2020,vs Roma,opponent,31,38,51,419,146,34.8,11.03,3.84,0.1,0.29,17.9,16,9,10,48.4,40.8,0.1,2.6,1.2
Serie A,M,ITA,2020,vs Sampdoria,opponent,31,38,61,501,173,34.5,13.18,4.55,0.11,0.31,17.8,27,8,9,53.3,46.6,0.1,7.7,6.4
Serie A,M,ITA,2020,vs Sassuolo,opponent,31,38,59,513,177,34.5,13.5,4.66,0.1,0.29,16.4,16,8,9,64.1,57.3,0.12,-5.1,-6.3
Serie A,M,ITA,2020,vs SPAL,opponent,34,38,74,650,222,34.2,17.11,5.84,0.1,0.3,18.1,33,7,8,67.4,61.3,0.1,6.6,5.7
Serie A,M,ITA,2020,vs Torino,opponent,27,38,65,609,199,32.7,16.03,5.24,0.09,0.28,17.8,18,10,11,62.7,54.4,0.09,2.3,0.6
Serie A,M,ITA,2020,vs Udinese,opponent,25,38,51,581,186,32,15.29,4.89,0.07,0.23,18.6,23,8,10,51.9,44.1,0.08,-0.9,-1.1
Serie A,M,ITA,2019,Atalanta,team,27,38,75,642,211,32.9,16.89,5.55,0.11,0.35,15.6,16,2,4,66.8,63.8,0.1,8.2,9.2
Serie A,M,ITA,2019,Bologna,team,29,38,45,495,159,32.1,13.03,4.18,0.08,0.25,17.7,23,5,5,47.3,43.5,0.09,-2.3,-3.5
Serie A,M,ITA,2019,Cagliari,team,30,38,36,434,124,28.6,11.42,3.26,0.08,0.27,16.8,12,2,3,39.2,36.9,0.09,-3.2,-2.9
Serie A,M,ITA,2019,Chievo,team,36,38,25,388,112,28.9,10.21,2.95,0.05,0.19,18.8,13,4,6,35.9,31.5,0.08,-10.9,-10.5
Serie A,M,ITA,2019,Empoli,team,29,38,48,454,142,31.3,11.95,3.74,0.1,0.31,16.9,16,4,7,52.1,46.7,0.11,-4.1,-2.7
Serie A,M,ITA,2019,Fiorentina,team,27,38,45,577,175,30.3,15.18,4.61,0.07,0.23,17.8,16,5,6,52.3,47.8,0.09,-7.3,-7.8
Serie A,M,ITA,2019,Frosinone,team,33,38,28,436,120,27.5,11.47,3.16,0.06,0.2,18.4,24,4,5,35.6,31.8,0.07,-7.6,-7.8
Serie A,M,ITA,2019,Genoa,team,31,38,37,526,150,28.5,13.84,3.95,0.06,0.22,18,23,4,5,43.7,39.9,0.08,-6.7,-6.9
Serie A,M,ITA,2019,Inter,team,23,38,57,619,185,29.9,16.29,4.87,0.08,0.26,17,9,8,9,64.4,57.6,0.09,-8.4,-9.6
Serie A,M,ITA,2019,Juventus,team,31,38,66,599,193,32.2,15.76,5.08,0.1,0.31,17.8,28,7,8,58.3,52.2,0.09,7.7,6.8
Serie A,M,ITA,2019,Lazio,team,30,38,54,612,189,30.9,16.11,4.97,0.08,0.25,17.1,22,6,6,56.4,51.9,0.09,-2.4,-3.9
Serie A,M,ITA,2019,Milan,team,23,38,52,580,190,32.8,15.26,5,0.08,0.26,18.6,20,3,4,48.2,45.1,0.08,3.8,3.9
Serie A,M,ITA,2019,Napoli,team,26,38,73,702,234,33.3,18.47,6.16,0.1,0.3,18.3,22,3,4,68.1,65.4,0.1,4.9,4.6
Serie A,M,ITA,2019,Parma,team,31,38,40,353,107,30.3,9.29,2.82,0.1,0.34,18.4,18,4,5,38.5,34.7,0.1,1.5,1.3
